Date : 2022-04-07 22:04:14
Directory : c:\Flutter Projects\truyou
Total : 83 files,  5593 codes, 488 comments, 577 blanks, all 6658 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         59 |      5,060 |        408 |        501 |      5,969 |
| JSON       |          3 |        168 |          0 |          3 |        171 |
| XML        |          9 |        132 |         51 |         16 |        199 |
| Groovy     |          3 |         80 |          3 |         20 |        103 |
| HTML       |          1 |         79 |         14 |          6 |         99 |
| YAML       |          1 |         36 |         11 |         14 |         61 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| Kotlin     |          1 |          4 |          0 |          3 |          7 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         83 |      5,593 |        488 |        577 |      6,658 |
| android                                                                                            |         13 |        163 |         53 |         39 |        255 |
| android\app                                                                                        |          9 |        122 |         52 |         28 |        202 |
| android\app\src                                                                                    |          8 |         75 |         49 |         17 |        141 |
| android\app\src\debug                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                               |          6 |         67 |         43 |         15 |        125 |
| android\app\src\main\kotlin                                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\truyou                                                     |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                           |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                            |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                     |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                             |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                |         57 |      3,622 |        201 |        235 |      4,058 |
| lib\components                                                                                     |         39 |      1,256 |         44 |        112 |      1,412 |
| lib\components\utils                                                                               |         24 |        383 |         19 |         54 |        456 |
| lib\components\utils\constants                                                                     |          1 |        181 |          5 |          6 |        192 |
| lib\components\utils\date-helper                                                                   |          1 |         28 |          5 |          6 |         39 |
| lib\components\utils\formatters                                                                    |          9 |         55 |          3 |         18 |         76 |
| lib\components\utils\responsive-widget                                                             |          1 |         16 |          3 |          4 |         23 |
| lib\components\utils\validators                                                                    |         11 |         98 |          3 |         19 |        120 |
| lib\components\widgets                                                                             |         14 |        871 |         25 |         57 |        953 |
| lib\components\widgets\dialogs                                                                     |          1 |        103 |          3 |          5 |        111 |
| lib\components\widgets\glow-buttons                                                                |          3 |        191 |          4 |         12 |        207 |
| lib\models                                                                                         |          1 |         33 |          1 |          5 |         39 |
| lib\screens                                                                                        |         15 |      2,290 |        148 |        109 |      2,547 |
| lib\screens\create-account-screens                                                                 |          2 |        897 |         86 |         34 |      1,017 |
| lib\screens\find-matches                                                                           |          1 |         12 |          0 |          4 |         16 |
| lib\screens\loading-screens                                                                        |          1 |         51 |          5 |          7 |         63 |
| lib\screens\my-matches                                                                             |          1 |         12 |          0 |          4 |         16 |
| lib\screens\profile                                                                                |          2 |         12 |          0 |          5 |         17 |
| lib\screens\sign-in-options                                                                        |          4 |        800 |         43 |         31 |        874 |
| lib\screens\sign-in-options\number-sign-in                                                         |          2 |        399 |         17 |         18 |        434 |
| lib\services                                                                                       |          1 |         30 |          5 |          6 |         41 |
| test                                                                                               |          2 |      1,438 |        207 |        266 |      1,911 |
| test\unit-tests                                                                                    |          1 |        229 |         28 |         18 |        275 |
| test\widget-tests                                                                                  |          1 |      1,209 |        179 |        248 |      1,636 |
| web                                                                                                |          2 |        102 |         14 |          7 |        123 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Flutter Projects\truyou\README.md                                                               | Markdown   |         10 |          0 |          7 |         17 |
