"filename", "language", "YAML", "Dart", "JavaScript", "comment", "blank", "total"
"c:\Flutter Projects\truyou\functions\index.js", "JavaScript", 0, 0, 16, 0, 6, 22
"c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_bloc.dart", "Dart", 0, 4, 0, 0, 0, 4
"c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_bloc.freezed.dart", "Dart", 0, -33, 0, 0, 0, -33
"c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_event.dart", "Dart", 0, -1, 0, 0, 0, -1
"c:\Flutter Projects\truyou\lib\bloc\gender_age_bloc\gender_age_bloc.dart", "Dart", 0, 13, 0, 1, 4, 18
"c:\Flutter Projects\truyou\lib\bloc\gender_age_bloc\gender_age_bloc.freezed.dart", "Dart", 0, 819, 0, 36, 127, 982
"c:\Flutter Projects\truyou\lib\bloc\gender_age_bloc\gender_age_event.dart", "Dart", 0, 8, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\gender_age_bloc\gender_age_state.dart", "Dart", 0, 8, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\location_bloc\location_bloc.dart", "Dart", 0, 49, 0, 1, 8, 58
"c:\Flutter Projects\truyou\lib\bloc\location_bloc\location_bloc.freezed.dart", "Dart", 0, 967, 0, 39, 147, 1153
"c:\Flutter Projects\truyou\lib\bloc\location_bloc\location_event.dart", "Dart", 0, 10, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\bloc\location_bloc\location_state.dart", "Dart", 0, 8, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\my_matches_bloc\my_matches_bloc.dart", "Dart", 0, 44, 0, 0, 10, 54
"c:\Flutter Projects\truyou\lib\bloc\my_matches_bloc\my_matches_bloc.freezed.dart", "Dart", 0, 858, 0, 36, 131, 1025
"c:\Flutter Projects\truyou\lib\bloc\my_matches_bloc\my_matches_event.dart", "Dart", 0, 8, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\my_matches_bloc\my_matches_state.dart", "Dart", 0, 9, 0, 0, 2, 11
"c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_bloc.freezed.dart", "Dart", 0, 1, 0, 0, 0, 1
"c:\Flutter Projects\truyou\lib\bloc\unmatch_bloc\unmatch_bloc.dart", "Dart", 0, 25, 0, 0, 5, 30
"c:\Flutter Projects\truyou\lib\bloc\unmatch_bloc\unmatch_bloc.freezed.dart", "Dart", 0, 684, 0, 33, 113, 830
"c:\Flutter Projects\truyou\lib\bloc\unmatch_bloc\unmatch_event.dart", "Dart", 0, 5, 0, 0, 2, 7
"c:\Flutter Projects\truyou\lib\bloc\unmatch_bloc\unmatch_state.dart", "Dart", 0, 8, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_bloc.dart", "Dart", 0, 16, 0, -5, 2, 13
"c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_bloc.freezed.dart", "Dart", 0, 136, 0, 3, 22, 161
"c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_event.dart", "Dart", 0, 2, 0, 0, 1, 3
"c:\Flutter Projects\truyou\lib\components\utils\constants\constants.dart", "Dart", 0, 3, 0, 0, 0, 3
"c:\Flutter Projects\truyou\lib\components\utils\constants\keys.dart", "Dart", 0, 25, 0, -16, 0, 9
"c:\Flutter Projects\truyou\lib\components\utils\exceptions\exception_handler.dart", "Dart", 0, 0, 0, -1, 0, -1
"c:\Flutter Projects\truyou\lib\components\utils\exceptions\exceptions.dart", "Dart", 0, 1, 0, 0, 1, 2
"c:\Flutter Projects\truyou\lib\components\utils\exceptions\failure_type.dart", "Dart", 0, 1, 0, 0, 0, 1
"c:\Flutter Projects\truyou\lib\components\utils\exceptions\failure_type.freezed.dart", "Dart", 0, 267, 0, 3, 16, 286
"c:\Flutter Projects\truyou\lib\components\utils\geo_helper\geo_helper.dart", "Dart", 0, 54, 0, 0, 11, 65
"c:\Flutter Projects\truyou\lib\components\utils\injector\injection_container.dart", "Dart", 0, 6, 0, 0, 0, 6
"c:\Flutter Projects\truyou\lib\components\widgets\custom_drawer.dart", "Dart", 0, -7, 0, 0, 0, -7
"c:\Flutter Projects\truyou\lib\components\widgets\custom_switch.dart", "Dart", 0, 4, 0, 0, 0, 4
"c:\Flutter Projects\truyou\lib\components\widgets\dialogs\custom_dialog.dart", "Dart", 0, 25, 0, -4, 0, 21
"c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\circular_glowing_button.dart", "Dart", 0, 3, 0, 0, 0, 3
"c:\Flutter Projects\truyou\lib\components\widgets\loader.dart", "Dart", 0, 14, 0, 0, 2, 16
"c:\Flutter Projects\truyou\lib\components\widgets\match_animation.dart", "Dart", 0, 16, 0, 0, 3, 19
"c:\Flutter Projects\truyou\lib\components\widgets\my_matches_card.dart", "Dart", 0, -25, 0, 0, 1, -24
"c:\Flutter Projects\truyou\lib\models\truyou_user\truyou_user_model.dart", "Dart", 0, 4, 0, 0, 0, 4
"c:\Flutter Projects\truyou\lib\models\truyou_user\truyou_user_model.freezed.dart", "Dart", 0, 24, 0, 0, 0, 24
"c:\Flutter Projects\truyou\lib\repository\cloud_function_repository.dart", "Dart", 0, 10, 0, 1, 1, 12
